campaign,branch,acceleration_rms_g,normalized_frequency,frequency_hz,numerical_transverse,experimental_transverse,transverse_error,numerical_longitudinal,experimental_longitudinal,longitudinal_error,periodicity_error,total_energy_change,physical_root_work,material_dissipation,jump_dissipation,left_boundary_dissipation,right_boundary_dissipation,sat_data_work,net_boundary_dissipation,relative_ledger_residual
05g_upper,upper,0.5,1.0185529459179299,9.29425868181771,0.8198986078676785,0.8105034812091638,0.009395126658514719,-0.6444814792173632,-0.5922924868172681,-0.05218899240009511,0.00031132906155699816,0.0001484825166664372,0.15788427296238305,0.1656046481311126,0.005131894834211197,14.261494334443597,0.0014814699140896811,14.275976570405646,-0.013000766047959189,9.372649437983013e-10
05g_upper,upper,0.5,1.023693543238208,9.341166445881624,0.8327635457207361,0.828846447627997,0.003917098092739102,-0.7248350500905569,-0.6706171244661481,-0.05421792562440886,0.0003386729947196798,-0.000770027242440019,0.18920853123216225,0.19441779498965694,0.007877431365447933,14.045191057157405,0.002117997166211944,14.05962568348167,-0.012316629158053871,2.717440197495351e-09
05g_upper,upper,0.5,1.0288351627461085,9.388083537370514,0.839623485905063,0.8392654016716398,0.00035808423342320594,-0.8085163644399569,-0.7576282330406312,-0.05088813139932569,0.0004711562662064739,-0.00032388740947597583,0.23245737751447784,0.22825969704359192,0.012292888308388658,13.838764640343499,0.003118187230199386,13.84965374610429,-0.007770918530590976,2.8538915637473546e-08
05g_upper,upper,0.5,1.0308928822914973,9.406860153575025,0.841984024294222,0.8406282112574666,0.001355813036755471,-0.8415590517290618,-0.7857787973784877,-0.0557802543505741,0.00014221458863888925,-6.2255683945799944e-06,0.2536274170402253,0.24307557243615668,0.014675027752219648,13.760219689097067,0.003661275078272643,13.767997676496911,-0.00411671232157218,1.749141561668311e-08
05g_upper,upper,0.5,1.0319201511430482,9.41623394457956,0.8431370717186142,0.8420349329860367,0.0011021387325774734,-0.8571437631161484,-0.8091385425773006,-0.048005220538847815,0.0002958086240398075,5.819014598484884e-05,0.2649380558248957,0.25066383530715136,0.01600577960892292,13.722080318366084,0.00396772929433544,13.727837592552865,-0.001789544892444539,1.4603587169455676e-08
05g_upper,upper,0.5,1.0329495307557512,9.425626996203036,0.8442939868781565,0.8429636162811786,0.0013303705969779367,-0.8745105769970658,-0.8159206196301595,-0.05858995736690631,0.00024308219850895096,-2.3091392815643985e-05,0.2774863144703464,0.25887993309134333,0.017532577439293894,13.684891189125908,0.004321818214549117,13.688115907038583,0.0010971003018749315,1.4676703859416242e-08
05g_upper,upper,0.5,1.0350051256298216,9.444384224858844,0.8468282579280679,0.845101249058947,0.0017270088691209162,-0.907469707581186,-0.8587178644809593,-0.04875184310022662,0.0001547431525017462,-0.00028385156987997817,0.3055567036378965,0.27613152033147526,0.02103400677963776,13.614161567378606,0.005145881488226915,13.610632009486384,0.00867543938044868,2.9553737371631656e-08
05g_upper,upper,0.5,1.0370617740940755,9.463151067486855,0.8493781407931912,0.8482335130263716,0.0011446277668195615,-0.9413398129563182,-0.8996107822775082,-0.04172903067880995,0.0002959720831126056,-0.0003186220609672219,0.3393137066878992,0.2946387298351247,0.025238364206020533,13.550128378526168,0.006158238803844284,13.536531170859762,0.019755446470249183,1.526088419811458e-08
05g_upper,upper,0.5,1.0391205403433936,9.48193723482675,0.8516345513953142,0.8519647592827665,-0.0003302078874523051,-0.9719870316977505,-0.9290576922006113,-0.042929339497139174,0.00019477999552813818,-5.091910021182144e-06,0.3791389184337603,0.3134540216038731,0.02998909875454234,13.495657587384272,0.007334031486968954,13.467289882020728,0.035701736850514365,6.116124219864192e-08
05g_upper,upper,0.5,1.0411750674403546,9.50068472005517,0.8538335234621701,0.8553388065524764,-0.0015052830903062864,-0.9982631562176543,-0.9697768819150179,-0.028486274302636394,0.00041863901396319014,5.61480846568152e-05,0.42500950309081625,0.33049644987182053,0.03472684297579384,13.458138434272916,0.008530726465667507,13.4069384288511,0.059730731887482236,4.841898917581109e-08
05g_lower,lower,0.5,1.131663486450082,10.326388260902702,0.14345320901490607,0.13175829912571368,0.01169490988919239,-0.012109779075232474,-0.010470457873724137,-0.001639321201508337,0.00016732084045818774,4.0335127704183016e-05,0.002884131926385977,0.0028662727475726596,9.364040202354629e-07,10.422090401581537,6.924988966710411e-07,10.42211450962119,-2.341554075613317e-05,3.0578866634756504e-10
05g_lower,lower,0.5,1.1059574268168753,10.091821399279283,0.1796619276261804,0.15367321144979862,0.025988716176381793,-0.01905711581273406,-0.013697791091981205,-0.005359324720752855,0.00010509457665885957,2.8610763754988167e-05,0.004452893442444563,0.004424668808728966,2.258446197480405e-06,11.165885843242425,1.5510320418106547e-06,11.16589004062289,-2.6463484221750377e-06,1.586509889626432e-10
05g_lower,lower,0.5,1.0802492807997222,9.85723549947804,0.2379009256401854,0.1993272776229963,0.0385736480171891,-0.03368640919269095,-0.021963238692362032,-0.011723170500328915,0.00011327307319245264,2.4007797266578645e-05,0.007791705548257263,0.007682988935074972,6.95505413416118e-06,11.982350890786863,4.37186455835666e-06,11.982277516638998,7.774601242260815e-05,6.46314741361166e-10
05g_lower,lower,0.5,1.059683821651717,9.669576430798351,0.32051691805150523,0.2548837490452089,0.06563316900629634,-0.06219885995048369,-0.0354338469076958,-0.02676501304278789,0.00010630118434534763,6.520703785317661e-05,0.014446200264238228,0.01401426357034554,2.379094060351233e-05,12.694103617017333,1.3622832542474169e-05,12.693774312678713,0.00034292717116279903,9.084098817190916e-10
05g_lower,lower,0.5,1.0545421849296253,9.622659182230592,0.3515169967831063,0.2861459415200822,0.06537105526302406,-0.0754288999295738,-0.044601344165353475,-0.030827555764220325,0.0001771344123947527,7.363114280101168e-05,0.017578035385892535,0.01696177567226653,3.5202081194327337e-05,12.880990656601671,1.955250320724961e-05,12.880502776238442,0.00050743286643673,4.94399649949414e-10
05g_lower,lower,0.5,1.0494016121256542,9.575751641877089,0.3886820021657163,0.3208976409106645,0.06778436125505183,-0.09326511550636585,-0.05658858183316531,-0.036676533673200534,0.00018904057266888596,-0.00015467333057123112,0.021631958172486077,0.02096378668969678,5.4434919219242716e-05,13.071693793668208,2.918943216866958e-05,13.07095460631645,0.0007683767839274935,2.528898608510391e-09
05g_lower,lower,0.5,1.0473449671045272,9.556984830667487,0.40652674506714864,0.33767998153612816,0.06884676353102048,-0.1026380725961058,-0.0637982972420667,-0.0388397753540391,0.0001917313239975238,-0.0001577336483886138,0.0239101845544773,0.02307900070244158,6.637354996141449e-05,13.149132768043,3.500218707747617e-05,13.148245232986822,0.0009225372432553058,5.091897801463516e-10
05g_lower,lower,0.5,1.0452872614693045,9.538208341392735,0.426228587008536,0.34496106650840497,0.08126752050013103,-0.11362944729811297,-0.0666982198439788,-0.04693122745413417,0.00018884003680680328,4.5831059879875014e-05,0.026819400165024043,0.02557343377839853,8.205866432886146e-05,13.227297732085491,4.2481935679352956e-05,13.226222125203286,0.001118088817884555,9.171832533838646e-10
05g_lower,lower,0.5,1.0432306130050508,9.519441498764726,0.44753498569358297,0.3805316056424713,0.06700338005111167,-0.12630493971552648,-0.08036260168939423,-0.04594233802613225,8.502125674242356e-05,-3.2242813825744676e-05,0.02988749792889243,0.028454700433953494,0.00010237780065755337,13.306128611208143,5.1951616941253026e-05,13.304817934992467,0.0013626278326164254,2.6003879383642957e-09
05g_lower,lower,0.5,1.0411750146878531,9.500684238690507,0.4730585700293082,0.40748550641015074,0.06557306361915743,-0.14264995161157568,-0.09387998284992008,-0.0487699687616556,9.11021609104612e-05,-6.908319351794923e-05,0.033944153707933196,0.03217501079773571,0.00013217569223646552,13.38572366240393,6.546590068579416e-05,13.384083093958514,0.0017060343461015037,1.1972919245817145e-09
05g_lower,lower,0.5,1.0391205086640722,9.481936945754093,0.5019245801772877,0.43385697093588754,0.06806760924140015,-0.1627627864867568,-0.10572695513695006,-0.057035831349806734,0.00010224650010082215,0.00011302970077176067,0.03925631538156666,0.036793700832683705,0.00017490947776786252,13.46613450046474,8.421656479313814e-05,13.464044049944912,0.002174667084622328,6.136070686384981e-10
05g_lower,lower,0.5,1.037061721341574,9.463150586122193,0.5368274711718221,0.475378646752062,0.06144882441976007,-0.18961929447292625,-0.12881943304508578,-0.06079986142784047,0.00010740221281646534,-0.00010691653110672661,0.04608386465138808,0.043063498684773355,0.0002434699117513823,13.547789621599437,0.000113080498048518,13.545018894550937,0.002883807546547601,3.707853419072812e-10
05g_lower,lower,0.5,1.0350050728773201,9.444383743494182,0.5820361660166959,0.5330068085527293,0.04902935746396664,-0.22910956924370374,-0.16361850426803123,-0.0654910649756725,0.00011960191664617259,0.0001440567525634595,0.0570396082403527,0.05243401426679063,0.000369821165809159,13.63091912295213,0.0001633042145163627,13.626990684853974,0.004091742312672508,1.9188414898768243e-09
05g_lower,lower,0.5,1.0329494990764299,9.425626707130379,0.6534231737160657,0.6358989322826512,0.017524241433414578,-0.30529281096206196,-0.24984776297253206,-0.0554450479895299,9.730986233247307e-05,0.00010688188320417957,0.07890664194280467,0.07108376966242991,0.0007151746632943929,13.717760163504238,0.000287642990696513,13.71104698872814,0.007000817766794398,1.4742020811079095e-10
