# Componentwise numerical Kelvin-Voigt resultant errors
# r_tau is reconstructed from Trixi's discrete auxiliary gradient
# generated_utc=2026-08-01T15:55:26.622
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,component,l2_error,l2_eoc,linf_error,linf_eoc
2,3,8,1.2500000000000000e-01,upwind,alternating,2,r_tau_f2,2.6463583032309174e-04,2.02675068,9.2095520732110581e-04,1.77333379
2,3,8,1.2500000000000000e-01,upwind,alternating,3,r_tau_f3,2.0462723710430950e-04,2.39837180,6.4189435030173603e-04,2.22878883
2,3,8,1.2500000000000000e-01,upwind,alternating,4,r_tau_m1,9.7959976793566796e-05,2.75562164,2.9696822997382633e-04,2.72229512
2,3,8,1.2500000000000000e-01,upwind,alternating,5,r_tau_m2,9.7353791414614616e-05,2.43216208,4.4343848194045021e-04,1.95179084
2,3,8,1.2500000000000000e-01,upwind,alternating,6,r_tau_m3,9.5069078290962642e-05,2.57810417,4.1968474485960805e-04,2.02851516
2,4,16,6.2500000000000000e-02,upwind,alternating,1,r_tau_f1,1.6215667808052658e-05,1.75128915,3.1685768139416703e-05,2.75497579
2,4,16,6.2500000000000000e-02,upwind,alternating,2,r_tau_f2,4.5105667133529154e-05,2.55262780,1.6008885214535695e-04,2.52425814
2,4,16,6.2500000000000000e-02,upwind,alternating,3,r_tau_f3,2.1656364949667868e-05,3.24013518,1.0519539296030556e-04,2.60926434
2,4,16,6.2500000000000000e-02,upwind,alternating,4,r_tau_m1,7.0598216932222127e-06,3.79448878,2.9411303910098496e-05,3.33586595
2,4,16,6.2500000000000000e-02,upwind,alternating,5,r_tau_m2,1.5090620663277874e-05,2.68958502,6.0581303102644202e-05,2.87178946
2,4,16,6.2500000000000000e-02,upwind,alternating,6,r_tau_m3,6.1535946934195337e-06,3.94947484,4.0504020692458398e-05,3.37316899
2,5,32,3.1250000000000000e-02,upwind,alternating,1,r_tau_f1,5.2228236946392464e-06,1.63448653,1.6906399212007761e-05,0.90626557
2,5,32,3.1250000000000000e-02,upwind,alternating,2,r_tau_f2,6.6396167638102063e-06,2.76413683,2.6536085828254841e-05,2.59284536
2,5,32,3.1250000000000000e-02,upwind,alternating,3,r_tau_f3,2.4683540303189573e-06,3.13316987,1.1748240254308429e-05,3.16255494
2,5,32,3.1250000000000000e-02,upwind,alternating,4,r_tau_m1,6.6168318264256357e-07,3.41541923,1.7389311924090323e-06,4.08009799
2,5,32,3.1250000000000000e-02,upwind,alternating,5,r_tau_m2,2.1493869308325681e-06,2.81165502,9.2544991131954246e-06,2.71064580
2,5,32,3.1250000000000000e-02,upwind,alternating,6,r_tau_m3,6.3921203455746212e-07,3.26706295,2.9669509959140417e-06,3.77101212
2,6,64,1.5625000000000000e-02,upwind,alternating,1,r_tau_f1,9.6991808098003042e-07,2.42889520,3.9294689697377816e-06,2.10516316
